# Scheme, T, dt, g, rho, Cd
0 10.0 0.001 9.81 1000 0.0
#
# m, A, K, y_0, v_0, h_0
10.0 0.2 0.0 0.1 0.0 0.0
20.0 0.2 0.0 0.1 0.0 0.0
30.0 0.2 0.0 0.1 0.0 0.0
40.0 0.2 0.0 0.1 0.0 0.0
50.0 0.2 0.0 0.1 0.0 0.0
10.0 0.1 0.0 0.1 0.0 0.0
10.0 0.2 0.0 0.1 0.0 0.0
10.0 0.3 0.0 0.1 0.0 0.0
10.0 0.4 0.0 0.1 0.0 0.0
10.0 0.5 0.0 0.1 0.0 0.0
10.0 0.5 0.0 0.1 0.0 0.0
10.0 0.5 0.1 0.1 0.0 0.0
10.0 0.5 0.2 0.1 0.0 0.0
10.0 0.5 0.3 0.1 0.0 0.0
10.0 0.5 0.4 0.1 0.0 0.0
10.0 0.5 0.4 0.1 0.0 0.0
10.0 0.5 0.4 0.2 0.0 0.0
10.0 0.5 0.4 0.3 0.0 0.0
10.0 0.5 0.4 0.4 0.0 0.0
10.0 0.5 0.4 0.5 0.0 0.0
10.0 0.5 0.4 0.5 0.1 0.0
10.0 0.5 0.4 0.5 0.2 0.0
10.0 0.5 0.4 0.5 0.3 0.0
10.0 0.5 0.4 0.5 0.4 0.0
10.0 0.5 0.4 0.5 0.5 0.0
10.0 0.5 0.4 0.5 0.5 0.1
10.0 0.5 0.4 0.5 0.5 0.2
10.0 0.5 0.4 0.5 0.5 0.3
10.0 0.5 0.4 0.5 0.5 0.4
10.0 0.5 0.4 0.5 0.5 0.5
